param Max_Num_States := 2;
param Max_Num_Actions := 2;
#param lambda:= 0.95;
set S := 0 	1 	2 		;
set T := 0 	1 	2   3	;
param alpha := 0 0.333
1 0.333
2 0.333

;
set A := 	0 	1 	2 		;
param ind : 0 	 1 	 2 	 	:= 
 0 	1.000000000000000 	1.000000000000000 	1.000000000000000 	 	 
 1 	1.000000000000000 	1.000000000000000 	0.000000000000000 		 
 2 	1.000000000000000 	0.000000000000000 	0.000000000000000 	 	 
;
param r :=[*,*,0]: 	 0 1 2    := 
 0 	0.000000000000000 -1.000000000000000 -2.000000000000000  
 1 	5.000000000000000 0.000000000000000 0.000000000000000   
 2 	6.000000000000000 0.000000000000000 0.000000000000000  

 
[*,*,1]: 	 0 1 2    := 
 0 	0.000000000000000 -1.000000000000000 -2.000000000000000  
 1 	5.000000000000000 0.000000000000000 0.000000000000000   
 2 	6.000000000000000 0.000000000000000 0.000000000000000 
 
[*,*,2]: 	 0 1 2   := 
0 	0.000000000000000 -1.000000000000000 -2.000000000000000  
 1 	5.000000000000000 0.000000000000000 0.000000000000000   
 2 	6.000000000000000 0.000000000000000 0.000000000000000   
 
[*,*,3]: 	 0 1 2   := 
 0 	0.000000000000000 -1.000000000000000 -2.000000000000000  
 1 	5.000000000000000 0.000000000000000 0.000000000000000   
 2 	6.000000000000000 0.000000000000000 0.000000000000000 
 
;
param P:= 
[*,*,0]: 	 0 1 2   := 
0 	 1.000000000000000 0.000000000000000 0.000000000000000  
1 	 0.750000000000000 0.250000000000000 0.000000000000000   
2 	 0.250000000000000 0.500000000000000 0.250000000000000  
 
 
[*,*,1]: 	 0 1 2   := 
0 	 0.750000000000000 0.250000000000000 0.000000000000000  
1 	 0.250000000000000 0.500000000000000 0.250000000000000   
2 	 0.000000000000000 0.00000000000000 0.000000000000000  

 
[*,*,2]: 	 0 1 2   := 
0 	 0.250000000000000 0.500000000000000 0.250000000000000   
1 	 0.000000000000000 0.00000000000000 0.000000000000000   
2 	 0.000000000000000 0.000000000000000 0.000000000000000  
;
 

 
