param M := 3;
param N := 3;
param Time := 3;
param lambda:= 0.95;
set S := 0 	1 	2 	3 	;
set T := 0 	1 	2 	3 	;
set J :=0 	1 	2 	3 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	;
param alpha := 0 0.25
1 0.25
2 0.25
3 0.25
;
set A := 	0 	1 	2 	3 	;
param q : 0 	 1 	 2 	 3 	:= 
 0 	1.000000000000000 	1.000000000000000 	1.000000000000000 	1.000000000000000 	 
 1 	1.000000000000000 	1.000000000000000 	1.000000000000000 	0.000000000000000 	 
 2 	1.000000000000000 	1.000000000000000 	0.000000000000000 	0.000000000000000 	 
 3 	1.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	 
;
param r :=[*,*,0]: 	 0 1 2 3   := 
 0 	0.000000000000000 -1.000000000000000 -2.000000000000000 -5.000000000000000  
 1 	5.000000000000000 0.000000000000000 -3.000000000000000 0.000000000000000  
 2 	6.000000000000000 -1.000000000000000 0.000000000000000 0.000000000000000  
 3 	5.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,1]: 	 0 1 2 3   := 
 0 	0.000000000000000 -1.000000000000000 -2.000000000000000 -5.000000000000000  
 1 	5.000000000000000 0.000000000000000 -3.000000000000000 0.000000000000000  
 2 	6.000000000000000 -1.000000000000000 0.000000000000000 0.000000000000000  
 3 	5.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,2]: 	 0 1 2 3   := 
 0 	0.000000000000000 -1.000000000000000 -2.000000000000000 -5.000000000000000  
 1 	5.000000000000000 0.000000000000000 -3.000000000000000 0.000000000000000  
 2 	6.000000000000000 -1.000000000000000 0.000000000000000 0.000000000000000  
 3 	5.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,3]: 	 0 1 2 3   := 
 0 	0.000000000000000 -1.000000000000000 -2.000000000000000 -5.000000000000000  
 1 	5.000000000000000 0.000000000000000 -3.000000000000000 0.000000000000000  
 2 	6.000000000000000 -1.000000000000000 0.000000000000000 0.000000000000000  
 3 	5.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
;
param si :
 0 	 1 	 2 	 3 	 4 	 5 	 6 	 7 	 8 	 9 	 10 	 11 	 12 	 13 	 14 	 15 	 16 	 17 	 18 	 19 	 20 	 21 	:= 
 0 	1.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	 
 1 	1.000000000000000 	2.718281828459046 	7.389056098930650 	148.413159102576600 	0.006737946999085 	20.085536923187668 	0.002478752176666 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	 
 2 	1.000000000000000 	2.718281828459046 	7.389056098930650 	148.413159102576600 	0.006737946999085 	20.085536923187668 	0.002478752176666 	403.428793492735170 	0.018315638888734 	54.598150033144243 	1096.633158428458500 	0.049787068367864 	22026.465794806714000 	2980.957987041728300 	0.367879441171442 	0.000045399929762 	0.135335283236613 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	 
 3 	1.000000000000000 	2.718281828459046 	7.389056098930650 	148.413159102576600 	0.006737946999085 	20.085536923187668 	0.002478752176666 	403.428793492735170 	0.018315638888734 	54.598150033144243 	1096.633158428458500 	0.049787068367864 	22026.465794806714000 	2980.957987041728300 	0.367879441171442 	0.000045399929762 	0.135335283236613 	59874.141715197824000 	8103.083927575385100 	162754.791419003920000 	3269017.372472110200000 	442413.392008920430000 	 
;
param Prob := 
[*,*,0,0,0,0]: 	 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21   := 
0 	 1.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
1 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
2 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
3 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,0,0,0,1]: 	 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21   := 
0 	 0.000000000000000 0.750000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
