param M := 3;
param N := 3;
param lambda:= 0.99;
set S := 0 	1 	2 	3 	;
param alpha := 0 0.25
1 0.25
2 0.25
3 0.25
;
set A := 	0 	1 	2 	3 	;
param q : 0 	 1 	 2 	 3 	:= 
 0 	1.000000000000000 	1.000000000000000 	1.000000000000000 	1.000000000000000 	 
 1 	1.000000000000000 	1.000000000000000 	1.000000000000000 	0.000000000000000 	 
 2 	1.000000000000000 	1.000000000000000 	0.000000000000000 	0.000000000000000 	 
 3 	1.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	 
;
param r : 0 	 1 	 2 	 3 	:= 
 0 	0.000000000000000 	-1.000000000000000 	-2.000000000000000 	-5.000000000000000 	 
 1 	5.000000000000000 	0.000000000000000 	-3.000000000000000 	0.000000000000000 	 
 2 	6.000000000000000 	-1.000000000000000 	0.000000000000000 	0.000000000000000 	 
 3 	5.000000000000000 	0.000000000000000 	0.000000000000000 	0.000000000000000 	 
;
param P:= 
[*,*,0]: 	 0 1 2 3   := 
0 	 1.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
1 	 0.750000000000000 0.250000000000000 0.000000000000000 0.000000000000000  
2 	 0.250000000000000 0.500000000000000 0.250000000000000 0.000000000000000  
3 	 0.000000000000000 0.250000000000000 0.500000000000000 0.250000000000000  
 
[*,*,1]: 	 0 1 2 3   := 
0 	 0.750000000000000 0.250000000000000 0.000000000000000 0.000000000000000  
1 	 0.250000000000000 0.500000000000000 0.250000000000000 0.000000000000000  
2 	 0.000000000000000 0.250000000000000 0.500000000000000 0.250000000000000  
3 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,2]: 	 0 1 2 3   := 
0 	 0.250000000000000 0.500000000000000 0.250000000000000 0.000000000000000  
1 	 0.000000000000000 0.250000000000000 0.500000000000000 0.250000000000000  
2 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
3 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,3]: 	 0 1 2 3   := 
0 	 0.000000000000000 0.250000000000000 0.500000000000000 0.250000000000000  
1 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
2 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
3 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
