param Max_num_States := 3;
param Max_num_Actions := 3;
param Time := 3;
param gamma:= 5.000000e-001;
set S := 0 	1 	2 	3 	;
set T := 0 	1 	2 	3 	;
param alpha := 0 0.25
1 0.25
2 0.25
3 0.25
;
set A := 	0 	1 	2 	3 	;
param Reward :=[*,*,0]: 	 0 1 2 3   := 
 0 	0.000000000000000 -1.000000000000000 -2.000000000000000 -5.000000000000000  
 1 	5.000000000000000 0.000000000000000 -3.000000000000000 0.000000000000000  
 2 	6.000000000000000 -1.000000000000000 0.000000000000000 0.000000000000000  
 3 	5.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,1]: 	 0 1 2 3   := 
 0 	0.000000000000000 -1.000000000000000 -2.000000000000000 -5.000000000000000  
 1 	5.000000000000000 0.000000000000000 -3.000000000000000 0.000000000000000  
 2 	6.000000000000000 -1.000000000000000 0.000000000000000 0.000000000000000  
 3 	5.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,2]: 	 0 1 2 3   := 
 0 	0.000000000000000 -1.000000000000000 -2.000000000000000 -5.000000000000000  
 1 	5.000000000000000 0.000000000000000 -3.000000000000000 0.000000000000000  
 2 	6.000000000000000 -1.000000000000000 0.000000000000000 0.000000000000000  
 3 	5.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,3]: 	 0 1 2 3   := 
 0 	0.000000000000000 -1.000000000000000 -2.000000000000000 -5.000000000000000  
 1 	5.000000000000000 0.000000000000000 -3.000000000000000 0.000000000000000  
 2 	6.000000000000000 -1.000000000000000 0.000000000000000 0.000000000000000  
 3 	5.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
;
param Prob:= 
[*,*,0]: 	 0 1 2 3   := 
0 	 1.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
1 	 0.750000000000000 0.250000000000000 0.000000000000000 0.000000000000000  
2 	 0.250000000000000 0.500000000000000 0.250000000000000 0.000000000000000  
3 	 0.000000000000000 0.250000000000000 0.500000000000000 0.250000000000000  
 
[*,*,1]: 	 0 1 2 3   := 
0 	 0.750000000000000 0.250000000000000 0.000000000000000 0.000000000000000  
1 	 0.250000000000000 0.500000000000000 0.250000000000000 0.000000000000000  
2 	 0.000000000000000 0.250000000000000 0.500000000000000 0.250000000000000  
3 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,2]: 	 0 1 2 3   := 
0 	 0.250000000000000 0.500000000000000 0.250000000000000 0.000000000000000  
1 	 0.000000000000000 0.250000000000000 0.500000000000000 0.250000000000000  
2 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
3 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,3]: 	 0 1 2 3   := 
0 	 0.000000000000000 0.250000000000000 0.500000000000000 0.250000000000000  
1 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
2 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
3 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
