param Max_num_States := 3;
param Max_num_Actions := 3;
param Time := 5;
set S := 	0 	1 	2 	3 	;
set A := 	0 	1 	2 	3 	;
set T := 	0 	1 	2 	3 	4 	5 	;
param alpha := 0 2.500000e-001
1 2.500000e-001
2 2.500000e-001
3 2.500000e-001
;
param Reward :=[*,*,0]: 	 0 1 2 3   := 
 0 	1.050000000000000 0.975000000000000 1.125000000000000 1.500000000000000  
 1 	0.575000000000000 0.725000000000000 1.100000000000000 0.000000000000000  
 2 	0.325000000000000 0.700000000000000 0.000000000000000 0.000000000000000  
 3 	0.300000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,1]: 	 0 1 2 3   := 
 0 	1.050000000000000 0.975000000000000 1.125000000000000 1.500000000000000  
 1 	0.575000000000000 0.725000000000000 1.100000000000000 0.000000000000000  
 2 	0.325000000000000 0.700000000000000 0.000000000000000 0.000000000000000  
 3 	0.300000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,2]: 	 0 1 2 3   := 
 0 	1.050000000000000 0.975000000000000 1.125000000000000 1.500000000000000  
 1 	0.575000000000000 0.725000000000000 1.100000000000000 0.000000000000000  
 2 	0.325000000000000 0.700000000000000 0.000000000000000 0.000000000000000  
 3 	0.300000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,3]: 	 0 1 2 3   := 
 0 	1.050000000000000 0.975000000000000 1.125000000000000 1.500000000000000  
 1 	0.575000000000000 0.725000000000000 1.100000000000000 0.000000000000000  
 2 	0.325000000000000 0.700000000000000 0.000000000000000 0.000000000000000  
 3 	0.300000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,4]: 	 0 1 2 3   := 
 0 	1.050000000000000 0.975000000000000 1.125000000000000 1.500000000000000  
 1 	0.575000000000000 0.725000000000000 1.100000000000000 0.000000000000000  
 2 	0.325000000000000 0.700000000000000 0.000000000000000 0.000000000000000  
 3 	0.300000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,5]: 	 0 1 2 3   := 
 0 	1.050000000000000 0.975000000000000 1.125000000000000 1.500000000000000  
 1 	0.575000000000000 0.725000000000000 1.100000000000000 0.000000000000000  
 2 	0.325000000000000 0.700000000000000 0.000000000000000 0.000000000000000  
 3 	0.300000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
;
param Prob:= 
[*,*,0]: 	 0 1 2 3   := 
0 	 1.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
1 	 0.750000000000000 0.250000000000000 0.000000000000000 0.000000000000000  
2 	 0.500000000000000 0.250000000000000 0.250000000000000 0.000000000000000  
3 	 0.250000000000000 0.250000000000000 0.250000000000000 0.250000000000000  
 
[*,*,1]: 	 0 1 2 3   := 
0 	 0.750000000000000 0.250000000000000 0.000000000000000 0.000000000000000  
1 	 0.500000000000000 0.250000000000000 0.250000000000000 0.000000000000000  
2 	 0.250000000000000 0.250000000000000 0.250000000000000 0.250000000000000  
3 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,2]: 	 0 1 2 3   := 
0 	 0.500000000000000 0.250000000000000 0.250000000000000 0.000000000000000  
1 	 0.250000000000000 0.250000000000000 0.250000000000000 0.250000000000000  
2 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
3 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
[*,*,3]: 	 0 1 2 3   := 
0 	 0.250000000000000 0.250000000000000 0.250000000000000 0.250000000000000  
1 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
2 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
3 	 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000  
 
